# Legend: N(newborn) R(running) F(failed) K(killed) C(complete)
C leakage_power__ACQ_1 of AOI22 T0 W1
C Cin__VSS__hl__ACQ_1 of AOI22 T1 W1
C Cin__VSS__lh__ACQ_1 of AOI22 T2 W1
C delay__A__hl__OUT__lh__ACQ_1 of AOI22 T3 W1
C delay__A__lh__OUT__hl__ACQ_1 of AOI22 T4 W1
C delay__B__hl__OUT__lh__ACQ_1 of AOI22 T5 W1
C delay__B__lh__OUT__hl__ACQ_1 of AOI22 T6 W1
C delay__C__hl__OUT__lh__ACQ_1 of AOI22 T7 W1
C delay__C__lh__OUT__hl__ACQ_1 of AOI22 T8 W1
C delay__D__hl__OUT__lh__ACQ_1 of AOI22 T9 W1
C delay__D__lh__OUT__hl__ACQ_1 of AOI22 T10 W1
C Cin__VDD__hl__ACQ_1 of AOI22 T11 W1
C Cin__VDD__lh__ACQ_1 of AOI22 T12 W1
C delay__B__lh__OUT__hl__ACQ_1 of OAI21 T13 W1
C delay__B__hl__OUT__lh__ACQ_1 of OAI21 T14 W1
C leakage_power__ACQ_1 of OAI21 T15 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI21 T16 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI21 T17 W1
C Cin__VSS__lh__ACQ_1 of OAI21 T18 W1
C Cin__VSS__hl__ACQ_1 of OAI21 T19 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI21 T20 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI21 T21 W1
C Cin__VDD__lh__ACQ_1 of OAI21 T22 W1
C Cin__VDD__hl__ACQ_1 of OAI21 T23 W1
C delay__B__lh__OUT__hl__ACQ_1 of nor2 T24 W1
C delay__B__hl__OUT__lh__ACQ_1 of nor2 T25 W1
C leakage_power__ACQ_1 of nor2 T26 W1
C Cin__VSS__lh__ACQ_1 of nor2 T27 W1
C Cin__VSS__hl__ACQ_1 of nor2 T28 W1
C delay__A__lh__OUT__hl__ACQ_1 of nor2 T29 W1
C delay__A__hl__OUT__lh__ACQ_1 of nor2 T30 W1
C Cin__VDD__lh__ACQ_1 of nor2 T31 W1
C Cin__VDD__hl__ACQ_1 of nor2 T32 W1
C delay__B__lh__OUT__hl__ACQ_1 of OAI21 T33 W1
C delay__B__hl__OUT__lh__ACQ_1 of OAI21 T34 W1
C leakage_power__ACQ_1 of OAI21 T35 W1
C delay__C__lh__OUT__hl__ACQ_1 of OAI21 T36 W1
C delay__C__hl__OUT__lh__ACQ_1 of OAI21 T37 W1
C Cin__VSS__lh__ACQ_1 of OAI21 T38 W1
C Cin__VSS__hl__ACQ_1 of OAI21 T39 W1
C delay__A__lh__OUT__hl__ACQ_1 of OAI21 T40 W1
C delay__A__hl__OUT__lh__ACQ_1 of OAI21 T41 W1
C Cin__VDD__lh__ACQ_1 of OAI21 T42 W1
C Cin__VDD__hl__ACQ_1 of OAI21 T43 W1
C delay__B__lh__OUT__hl__ACQ_1 of nor2 T44 W1
C delay__B__hl__OUT__lh__ACQ_1 of nor2 T45 W1
C leakage_power__ACQ_1 of nor2 T46 W1
C Cin__VSS__lh__ACQ_1 of nor2 T47 W1
C Cin__VSS__hl__ACQ_1 of nor2 T48 W1
C delay__A__lh__OUT__hl__ACQ_1 of nor2 T49 W1
C delay__A__hl__OUT__lh__ACQ_1 of nor2 T50 W1
C Cin__VDD__lh__ACQ_1 of nor2 T51 W1
C Cin__VDD__hl__ACQ_1 of nor2 T52 W1
C delay__B__lh__OUT__hl__ACQ_1 of nor3 T53 W1
C delay__B__hl__OUT__lh__ACQ_1 of nor3 T54 W1
C leakage_power__ACQ_1 of nor3 T55 W1
C delay__C__lh__OUT__hl__ACQ_1 of nor3 T56 W1
C delay__C__hl__OUT__lh__ACQ_1 of nor3 T57 W1
C Cin__VSS__lh__ACQ_1 of nor3 T58 W1
C Cin__VSS__hl__ACQ_1 of nor3 T59 W1
C delay__A__lh__OUT__hl__ACQ_1 of nor3 T60 W1
C delay__A__hl__OUT__lh__ACQ_1 of nor3 T61 W1
C Cin__VDD__lh__ACQ_1 of nor3 T62 W1
C Cin__VDD__hl__ACQ_1 of nor3 T63 W1
